group_id,timestamp,forecast_kwh
G01,2026-02-01 00:00:00,59.93096728423054
G01,2026-02-01 01:00:00,59.49821169317468
G01,2026-02-01 02:00:00,58.949920143005826
G01,2026-02-01 03:00:00,58.7928790640149
G01,2026-02-01 04:00:00,55.88549034113776
G01,2026-02-01 05:00:00,55.50808535801064
G01,2026-02-01 06:00:00,54.533429228256466
G01,2026-02-01 07:00:00,57.628175560916475
G01,2026-02-01 08:00:00,58.688091009266785
G01,2026-02-01 09:00:00,59.19645274974596
G01,2026-02-01 10:00:00,61.31904991170481
G01,2026-02-01 11:00:00,63.759670888619716
G01,2026-02-01 12:00:00,64.20640273571912
G01,2026-02-01 13:00:00,65.86354835004187
G01,2026-02-01 14:00:00,67.65116976908185
G01,2026-02-01 15:00:00,69.25548402252369
G01,2026-02-01 16:00:00,69.88836715859605
G01,2026-02-01 17:00:00,68.94824138588174
G01,2026-02-01 18:00:00,68.87565904113302
G01,2026-02-01 19:00:00,68.13686419471165
G01,2026-02-01 20:00:00,66.93792975316094
G01,2026-02-01 21:00:00,66.03490780571498
G01,2026-02-01 22:00:00,64.00324551739361
G01,2026-02-01 23:00:00,63.74811857677089
G02,2026-02-01 00:00:00,77.6005942923837
G02,2026-02-01 01:00:00,77.6622077464497
G02,2026-02-01 02:00:00,76.1708483207574
G02,2026-02-01 03:00:00,77.54086201392789
G02,2026-02-01 04:00:00,74.64961523879985
G02,2026-02-01 05:00:00,72.46579988661902
G02,2026-02-01 06:00:00,69.41987381603971
G02,2026-02-01 07:00:00,68.11660483507497
G02,2026-02-01 08:00:00,67.94303661699202
G02,2026-02-01 09:00:00,66.14626285327917
G02,2026-02-01 10:00:00,67.48429247815415
G02,2026-02-01 11:00:00,67.23777326991421
G02,2026-02-01 12:00:00,66.20779445926343
G02,2026-02-01 13:00:00,71.15566346726204
G02,2026-02-01 14:00:00,69.67440172436284
G02,2026-02-01 15:00:00,74.18830961948179
G02,2026-02-01 16:00:00,73.5527352671932
G02,2026-02-01 17:00:00,78.9343213573375
G02,2026-02-01 18:00:00,75.72892984368403
G02,2026-02-01 19:00:00,79.46975503322761
G02,2026-02-01 20:00:00,78.74230293229445
G02,2026-02-01 21:00:00,81.79306980800376
G02,2026-02-01 22:00:00,79.3273681765883
G02,2026-02-01 23:00:00,82.01058798921537
G03,2026-02-01 00:00:00,79.60547373578207
G03,2026-02-01 01:00:00,81.00880600258867
G03,2026-02-01 02:00:00,78.58788352409914
G03,2026-02-01 03:00:00,75.76655883961446
G03,2026-02-01 04:00:00,76.43925587901322
G03,2026-02-01 05:00:00,74.42504600005239
G03,2026-02-01 06:00:00,73.57652936753593
G03,2026-02-01 07:00:00,72.76852685319658
G03,2026-02-01 08:00:00,72.65797797728425
G03,2026-02-01 09:00:00,73.38883517418354
G03,2026-02-01 10:00:00,73.41830453077768
G03,2026-02-01 11:00:00,72.35360599703802
G03,2026-02-01 12:00:00,71.39014220998118
G03,2026-02-01 13:00:00,68.49178782595433
G03,2026-02-01 14:00:00,74.92589859828458
G03,2026-02-01 15:00:00,72.67703897152298
G03,2026-02-01 16:00:00,71.37312273470046
G03,2026-02-01 17:00:00,77.77663386573703
G03,2026-02-01 18:00:00,74.74924590878636
G03,2026-02-01 19:00:00,77.62739541291681
G03,2026-02-01 20:00:00,76.32457302618775
G03,2026-02-01 21:00:00,79.86068942067237
G03,2026-02-01 22:00:00,79.92429895302963
G03,2026-02-01 23:00:00,81.60858336910603
G04,2026-02-01 00:00:00,100.43329795146678
G04,2026-02-01 01:00:00,105.06922618162409
G04,2026-02-01 02:00:00,109.7001903580417
G04,2026-02-01 03:00:00,107.35298192484663
G04,2026-02-01 04:00:00,112.8725859078425
G04,2026-02-01 05:00:00,107.57694859452309
G04,2026-02-01 06:00:00,106.9417840257428
G04,2026-02-01 07:00:00,110.97142888823339
G04,2026-02-01 08:00:00,109.24582666151882
G04,2026-02-01 09:00:00,104.01803583883387
G04,2026-02-01 10:00:00,106.08208667668023
G04,2026-02-01 11:00:00,102.99785823510732
G04,2026-02-01 12:00:00,100.51170568056173
G04,2026-02-01 13:00:00,101.52627051434865
G04,2026-02-01 14:00:00,101.71899219510266
G04,2026-02-01 15:00:00,99.29985718123906
G04,2026-02-01 16:00:00,98.78466271773578
G04,2026-02-01 17:00:00,96.89517853108266
G04,2026-02-01 18:00:00,96.6141021524345
G04,2026-02-01 19:00:00,98.40584997971426
G04,2026-02-01 20:00:00,101.43852003148572
G04,2026-02-01 21:00:00,99.5868562861573
G04,2026-02-01 22:00:00,100.53906865280528
G04,2026-02-01 23:00:00,102.88509380770701
G05,2026-02-01 00:00:00,84.73787085587959
G05,2026-02-01 01:00:00,90.66647677667999
G05,2026-02-01 02:00:00,93.91445724270567
G05,2026-02-01 03:00:00,98.46379420007462
G05,2026-02-01 04:00:00,101.3789667945199
G05,2026-02-01 05:00:00,102.26089979838083
G05,2026-02-01 06:00:00,103.69434946443313
G05,2026-02-01 07:00:00,106.9671943796005
G05,2026-02-01 08:00:00,106.22558285411165
G05,2026-02-01 09:00:00,110.43925955003749
G05,2026-02-01 10:00:00,106.03149991748994
G05,2026-02-01 11:00:00,105.48676418692163
G05,2026-02-01 12:00:00,98.25650186232946
G05,2026-02-01 13:00:00,97.0611385429456
G05,2026-02-01 14:00:00,92.80845107020386
G05,2026-02-01 15:00:00,86.86829465122732
G05,2026-02-01 16:00:00,85.86133812265223
G05,2026-02-01 17:00:00,84.16954339953746
G05,2026-02-01 18:00:00,79.6329245211972
G05,2026-02-01 19:00:00,144.14885296760963
G05,2026-02-01 20:00:00,81.19194939210502
G05,2026-02-01 21:00:00,77.47428750466071
G05,2026-02-01 22:00:00,77.57504863176399
G05,2026-02-01 23:00:00,81.41309571398168
G06,2026-02-01 00:00:00,61.02538129181561
G06,2026-02-01 01:00:00,60.08713612432984
G06,2026-02-01 02:00:00,58.391731480641084
G06,2026-02-01 03:00:00,57.50387274286318
G06,2026-02-01 04:00:00,56.57894236973247
G06,2026-02-01 05:00:00,55.35332508659844
G06,2026-02-01 06:00:00,54.94039126292768
G06,2026-02-01 07:00:00,54.46057738339148
G06,2026-02-01 08:00:00,55.10979905798373
G06,2026-02-01 09:00:00,55.33754209372661
G06,2026-02-01 10:00:00,55.37694158922306
G06,2026-02-01 11:00:00,56.38977909159183
G06,2026-02-01 12:00:00,57.34841148164303
G06,2026-02-01 13:00:00,58.37841867927397
G06,2026-02-01 14:00:00,59.89327811349408
G06,2026-02-01 15:00:00,60.3692733371809
G06,2026-02-01 16:00:00,61.35697594813181
G06,2026-02-01 17:00:00,62.30660772710475
G06,2026-02-01 18:00:00,62.60559825459005
G06,2026-02-01 19:00:00,64.24611277679539
G06,2026-02-01 20:00:00,64.3232729289572
G06,2026-02-01 21:00:00,65.1331590637098
