meter_id,timestamp,actual_kwh,expected_kwh,deviation_pct,anomaly_type,severity
M0001,2025-01-14 06:00:00,4.777176823566628,2.5407673102206356,88.0210283070663,positive_spike,medium
M0001,2025-01-27 07:00:00,,4.00220474384659,,missing_reading,high
M0001,2025-01-29 15:00:00,9.144552201593733,5.1243580953406545,78.45263799788812,positive_spike,medium
M0001,2025-01-31 12:00:00,0.32487368746726697,6.652417720795169,-95.11645688676876,negative_drop,medium
M0001,2025-02-07 12:00:00,7.0177311887628235,0.32487368746726697,2060.141451735731,positive_spike,high
M0001,2025-02-24 11:00:00,6.092693981102251,3.704044020587263,64.48762345260344,positive_spike,medium
M0001,2025-03-08 11:00:00,0.1805926926186049,4.887963518309336,-96.30535923719273,negative_drop,medium
M0001,2025-03-15 11:00:00,4.056295459223325,0.1805926926186049,2146.1016558349047,positive_spike,high
M0001,2025-03-20 01:00:00,,4.571237660081115,,missing_reading,high
M0001,2025-04-06 11:00:00,0.4571674186954198,4.205141932181456,-89.12837126383842,negative_drop,medium
M0001,2025-04-06 12:00:00,6.314603037511327,3.802062914701669,66.08360195972209,positive_spike,medium
M0001,2025-04-08 11:00:00,5.5973188540364625,3.4626298884925637,61.64935422749509,positive_spike,medium
M0001,2025-04-13 11:00:00,5.570741139946062,0.4571674186954198,1118.5341544773285,positive_spike,high
M0001,2025-04-28 09:00:00,,3.2676020244648747,,missing_reading,high
M0001,2025-05-05 08:00:00,,3.421584936525518,,missing_reading,high
M0001,2025-05-12 13:00:00,7.620397854663856,4.7255466391768115,61.259605216621594,positive_spike,medium
M0001,2025-06-05 04:00:00,,3.718229146683605,,missing_reading,high
M0001,2025-06-24 23:00:00,,6.3367307178788534,,missing_reading,high
M0001,2025-06-26 03:00:00,18.96625365972724,3.3627939825173545,464.0028428244447,positive_spike,high
M0001,2025-07-03 03:00:00,4.1694325789701745,18.96625365972724,-78.0165727308419,negative_drop,medium
M0001,2025-07-22 01:00:00,,4.54256524241341,,missing_reading,high
M0001,2025-07-22 11:00:00,,4.723262333110177,,missing_reading,high
M0001,2025-07-22 13:00:00,29.469558093627256,5.9382662540671465,396.2653547816826,positive_spike,high
M0001,2025-07-29 13:00:00,6.943948855994021,29.469558093627256,-76.43687484578997,negative_drop,medium
M0001,2025-08-04 09:00:00,3.824683965318981,2.3813412306454884,60.61049613970102,positive_spike,medium
M0001,2025-09-01 11:00:00,6.142012168012286,3.811144060512832,61.15927581036675,positive_spike,medium
M0001,2025-09-18 09:00:00,4.661420926429926,2.9075536206941868,60.32106487229627,positive_spike,medium
M0001,2025-09-23 07:00:00,4.085408976932727,2.467899863955708,65.54192642096798,positive_spike,medium
M0001,2025-10-22 02:00:00,5.077865392171778,2.784549251678376,82.35861294646215,positive_spike,medium
M0001,2025-10-31 18:00:00,9.869669866760319,6.013785730365749,64.11741803378254,positive_spike,medium
M0001,2025-11-02 00:00:00,5.659051418032847,3.4072312105259748,66.08944531120501,positive_spike,medium
M0001,2025-11-03 03:00:00,4.905486746931178,2.7501520435616653,78.37147434867576,positive_spike,medium
M0001,2025-11-06 04:00:00,0.6057142273442897,3.908803336384513,-84.5038449055216,negative_drop,medium
M0001,2025-11-10 15:00:00,9.051658446614132,5.371539052510158,68.51145189727752,positive_spike,medium
M0001,2025-11-13 04:00:00,4.0029927976022694,0.6057142273442897,560.8715161195903,positive_spike,high
M0001,2025-11-16 12:00:00,,4.684012091929777,,missing_reading,high
M0001,2025-11-24 17:00:00,10.342600337737135,6.349984442800606,62.87599490835319,positive_spike,medium
M0001,2025-11-28 19:00:00,10.435351655935388,6.449004604596961,61.813369593454624,positive_spike,medium
M0001,2025-12-31 14:00:00,7.547762821916628,4.639232419295504,62.694216192401974,positive_spike,medium
M0001,2026-01-07 22:00:00,36.50342264011182,7.459592482928028,389.34875093583605,positive_spike,high
M0001,2026-01-14 22:00:00,7.011588935574562,36.50342264011182,-80.79196845539116,negative_drop,medium
M0002,2025-01-01 19:00:00,,,,missing_reading,high
M0002,2025-01-13 16:00:00,7.254421105951796,4.440363223641155,63.374497548492826,positive_spike,medium
M0002,2025-01-23 02:00:00,6.572566858498183,3.9332674192384722,67.1019576840954,positive_spike,medium
M0002,2025-01-29 18:00:00,8.830887949369766,5.376812146987961,64.24021721340489,positive_spike,medium
