meter_id,group_id,timestamp,forecast_kwh,selected_model
M0001,G01,2026-02-01 00:00:00,5.452229233428477,sarimax
M0001,G01,2026-02-01 01:00:00,4.869101994819374,sarimax
M0001,G01,2026-02-01 02:00:00,4.298977518492373,sarimax
M0001,G01,2026-02-01 03:00:00,3.811327681149352,sarimax
M0001,G01,2026-02-01 04:00:00,3.4402343957583503,sarimax
M0001,G01,2026-02-01 05:00:00,3.2110691212065787,sarimax
M0001,G01,2026-02-01 06:00:00,3.139542717254718,sarimax
M0001,G01,2026-02-01 07:00:00,3.2306555672275206,sarimax
M0001,G01,2026-02-01 08:00:00,3.478357195922434,sarimax
M0001,G01,2026-02-01 09:00:00,3.8659583926120784,sarimax
M0001,G01,2026-02-01 10:00:00,4.3672682861057615,sarimax
M0001,G01,2026-02-01 11:00:00,4.948378896750858,sarimax
M0001,G01,2026-02-01 12:00:00,5.569975551925352,sarimax
M0001,G01,2026-02-01 13:00:00,6.190015714533852,sarimax
M0001,G01,2026-02-01 14:00:00,6.766593667333866,sarimax
M0001,G01,2026-02-01 15:00:00,7.26079583021209,sarimax
M0001,G01,2026-02-01 16:00:00,7.639352125939649,sarimax
M0001,G01,2026-02-01 17:00:00,7.87690270895348,sarimax
M0001,G01,2026-02-01 18:00:00,7.9577255841433745,sarimax
M0001,G01,2026-02-01 19:00:00,7.876807382136363,sarimax
M0001,G01,2026-02-01 20:00:00,7.640184320425236,sarimax
M0001,G01,2026-02-01 21:00:00,7.264530115371168,sarimax
M0001,G01,2026-02-01 22:00:00,6.776018929217069,sarimax
M0001,G01,2026-02-01 23:00:00,6.208540841466056,sarimax
M0002,G02,2026-02-01 00:00:00,4.84362390127797,sarimax
M0002,G02,2026-02-01 01:00:00,4.482499729032419,sarimax
M0002,G02,2026-02-01 02:00:00,4.078064494801206,sarimax
M0002,G02,2026-02-01 03:00:00,3.7198977057640494,sarimax
M0002,G02,2026-02-01 04:00:00,3.4373255544642998,sarimax
M0002,G02,2026-02-01 05:00:00,3.2500395967350397,sarimax
M0002,G02,2026-02-01 06:00:00,3.1709087771419813,sarimax
M0002,G02,2026-02-01 07:00:00,3.2054302807461714,sarimax
M0002,G02,2026-02-01 08:00:00,3.351380657591473,sarimax
M0002,G02,2026-02-01 09:00:00,3.5989692108884475,sarimax
M0002,G02,2026-02-01 10:00:00,3.931505160625463,sarimax
M0002,G02,2026-02-01 11:00:00,4.326534850883218,sarimax
M0002,G02,2026-02-01 12:00:00,4.757371639311228,sarimax
M0002,G02,2026-02-01 13:00:00,5.19491422054196,sarimax
M0002,G02,2026-02-01 14:00:00,5.609629469117846,sarimax
M0002,G02,2026-02-01 15:00:00,5.973564675037449,sarimax
M0002,G02,2026-02-01 16:00:00,6.262252041955884,sarimax
M0002,G02,2026-02-01 17:00:00,6.456375660240168,sarimax
M0002,G02,2026-02-01 18:00:00,6.543087354073515,sarimax
M0002,G02,2026-02-01 19:00:00,6.516881730502584,sarimax
M0002,G02,2026-02-01 20:00:00,6.379970798026471,sarimax
M0002,G02,2026-02-01 21:00:00,6.1421326258797055,sarimax
M0002,G02,2026-02-01 22:00:00,5.820044358462557,sarimax
M0002,G02,2026-02-01 23:00:00,5.436145039758915,sarimax
M0003,G03,2026-02-01 00:00:00,15.609207800795483,seasonal_naive
M0003,G03,2026-02-01 01:00:00,16.255108376639814,seasonal_naive
M0003,G03,2026-02-01 02:00:00,13.423312915951122,seasonal_naive
M0003,G03,2026-02-01 03:00:00,11.552211587383567,seasonal_naive
M0003,G03,2026-02-01 04:00:00,11.169269254670798,seasonal_naive
M0003,G03,2026-02-01 05:00:00,10.567582014696713,seasonal_naive
M0003,G03,2026-02-01 06:00:00,9.264805563006782,seasonal_naive
M0003,G03,2026-02-01 07:00:00,8.723272572709162,seasonal_naive
M0003,G03,2026-02-01 08:00:00,9.07726214834657,seasonal_naive
M0003,G03,2026-02-01 09:00:00,11.135519438239916,seasonal_naive
M0003,G03,2026-02-01 10:00:00,11.914449847509335,seasonal_naive
M0003,G03,2026-02-01 11:00:00,11.298733072852393,seasonal_naive
M0003,G03,2026-02-01 12:00:00,11.446753434175658,seasonal_naive
M0003,G03,2026-02-01 13:00:00,9.183051738453573,seasonal_naive
M0003,G03,2026-02-01 14:00:00,15.87990095127284,seasonal_naive
M0003,G03,2026-02-01 15:00:00,13.848377275376725,seasonal_naive
M0003,G03,2026-02-01 16:00:00,12.529230550906814,seasonal_naive
M0003,G03,2026-02-01 17:00:00,19.11843905176801,seasonal_naive
M0003,G03,2026-02-01 18:00:00,15.366253808836154,seasonal_naive
M0003,G03,2026-02-01 19:00:00,17.33428316504243,seasonal_naive
M0003,G03,2026-02-01 20:00:00,15.621980230102714,seasonal_naive
